nr,hashtag
4723,#trump2016
4723,#makeamericagreatagain
4724,#newyorkvalues
4724,#trump2016
4725,#makeamericagreatagain
4725,#trump2016
4726,#trump2016
4726,#nyprimary
4727,#trumptrain
4727,#trump2016
4735,#trumptrain
4744,#makeamericagreatagain
4744,#trumptrain
4744,#trump2016
4748,#makeamericagreatagain
4754,#newyorkvalues
4759,#makeamericagreatagain
4759,#trump2016
4761,#makeamericagreatagain
4763,#trump
4764,#haileypuckett
4771,#wakeupamerica
4772,#newday
4772,#makeamericagreatagain
4778,#makeamericagreatagain
4784,#trump2016
4784,#maga
4784,#wiprimary
4786,#wisconsin
4786,#makeamericagreatagain
4786,#trumptrain
4792,#trump2016
4792,#wiprimary
4794,#trump2016
4794,#wiprimary
4796,#wisconsin
4798,#trump2016
4798,#wiprimary
4801,#votetrumpwi
4801,#wiprimary
4802,#makeamericagreatagain
4802,#trump2016
4803,#trump2016
4803,#wiprimary
4804,#makeamericagreatagain
4804,#trump2016
4805,#makeamericagreatagain
4805,#trump2016
4806,#trump2016
4807,#trump2016
4807,#wiprimary
4808,#makeamericagreatagain
4808,#trump2016
4809,#wisconsin
4813,#votetrump
4814,#trump2016
4815,#trumptrain
4815,#wausau
4815,#eauclaire
4815,#wiprimary
4815,#racine
4815,#trump2016
4818,#johnryder
4819,#trump2016
4819,#wiprimary
4827,#trump2016
4827,#wiprimary
4832,#trump2016
4833,#trump2016
4833,#makeamericagreatagain
4834,#votetrump
4834,#wiprimary
4836,#trump2016
4839,#trump2016
4839,#wiprimary
4840,#makeamericagreatagain
4840,#trump2016
4841,#makeamericagreatagain
4841,#trump2016
4844,#'s
4845,#trump2016
4847,#makeamericagreatagain
4868,#makeamericagreatagain
4868,#wiprimary
4885,#women4trump
4887,#derp
4891,#lyingted
4904,#votetrump2016
4913,#lyingted
4913,#nevercruz
4916,#trump2016
4925,#trump2016
4925,#trumptrain
4925,#makeamericagreatagain
4929,#trumptrain
4929,#westerntuesday
4929,#trump2016
4932,#potus
4934,#utahcaucus
4934,#utcaucus
4934,#trump2016
4934,#makeamericagreatagain
4935,#makeamericagreatagain
4935,#azprimary
4935,#trump2016
4935,#arizonaprimary
4936,#arizonaprimary
4936,#americansamoa
4936,#utahcaucus
4936,#utcaucus
4936,#azprimary
4936,#votetrump
4937,#brussels
4939,#arizona
4943,#aipac2016
4955,#makeamericagreatagain
4955,#azprimary
4955,#votetrump
4955,#trump2016
4956,#votetrump
4956,#makeamericagreatagain
4957,#makeamericagreatagain
4958,#makeamericagreatagain
4959,#trump2016
4959,#wattersworld
4960,#votetrump
4960,#makeamericagreatagain
4962,#makeamericagreatagain
4962,#trump2016
4965,#mormon
4965,#utah4trump
4965,#utahprimary
4965,#trumpcountry
4965,#utah
4967,#utah
4969,#votetrump
4970,#trump
4971,#trump2016
4972,#az
4972,#ut
4975,#makeamericagreatagain
4975,#trump2016
4976,#trump2016
4979,#trump2016
4979,#makeamericagreatagain
4987,#makeamericagreatagain
4987,#trump2016
4988,#trump2016
4988,#makeamericagreatagain
4999,#makeamericagreatagain
4999,#trump2016
5014,#trump2016
5030,#makeamericagreatagain
5033,#supertuesday
5033,#makeamericagreatagain
5033,#trump2016
5034,#supertuesday
5034,#makeamericagreatagain
5034,#trump2016
5036,#supertuesday
5036,#makeamericagreatagain
5036,#trump2016
5037,#trump2016
5037,#makeamericagreatagain
5044,#cnn
5053,#supertuesday
5053,#votetrump
5054,#supertuesday
5054,#votetrump
5060,#go
5064,#makeamericagreatagain
5065,#votetrump
5065,#trump2016
5066,#makeamericagreatagain
5068,#votetrump
5070,#votetrump
5071,#trump2016
5071,#votetrump
5071,#makeamericagreatagain
5072,#trumptrain
5085,#endcommoncore
5085,#trump2016
5091,#makeamericagreatagain
5091,#trump2016
5092,#makeamericagreatagain
5092,#trump2016
5099,#votetrump
5099,#trump2016
5100,#trump2016
5101,#makeamericagreatagain
